City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,meulaboh,4.1363,96.1285,297.03,88,97,1.61,ID,25200
1,lebu,-37.6167,-73.65,291.47,81,54,3.99,CL,-10800
2,carnarvon,-24.8667,113.6333,298.84,71,1,1.96,AU,28800
3,kavaratti,10.5669,72.642,300.49,67,81,2.41,IN,19800
4,lata,40.1629,-8.3327,279.86,72,0,1.71,PT,0
5,padang,-0.9492,100.3543,297.18,85,100,1.39,ID,25200
6,ushuaia,-54.8,-68.3,284.96,58,75,5.14,AR,-10800
7,westport,41.1415,-73.3579,267.64,32,0,3.13,US,-18000
8,tuktoyaktuk,69.4541,-133.0374,234.57,100,32,0.77,CA,-25200
9,bethel,41.3712,-73.414,266.13,36,20,3.09,US,-18000
10,nanortalik,60.1432,-45.2371,269.7,74,99,9.95,GL,-10800
11,port alfred,-33.5906,26.891,296.03,89,100,0.45,ZA,7200
12,beamsville,43.1668,-79.4829,270.94,54,89,8.23,CA,-18000
13,aswan,24.0934,32.907,288.22,26,54,4.23,EG,7200
14,mahebourg,-20.4081,57.7,299.31,89,40,2.06,MU,14400
15,hobart,-42.8794,147.3294,288.74,66,20,3.09,AU,39600
16,hofn,64.2539,-15.2082,274.0,58,36,5.1,IS,0
17,new norfolk,-42.7826,147.0587,287.99,64,15,0.89,AU,39600
18,takaka,-40.85,172.8,294.57,94,99,2.43,NZ,46800
19,khatanga,71.9667,102.5,234.44,100,53,2.3,RU,25200
20,severo-kurilsk,50.6789,156.125,269.79,73,100,2.78,RU,39600
21,yellowknife,62.456,-114.3525,247.84,82,33,1.6,CA,-25200
22,cape town,-33.9258,18.4232,294.88,85,40,2.57,ZA,7200
23,gat,31.61,34.7642,285.59,100,69,3.03,IL,7200
24,jamestown,42.097,-79.2353,270.21,32,0,6.17,US,-18000
25,leshukonskoye,64.8989,45.7622,250.71,100,97,1.2,RU,10800
26,ilulissat,69.2167,-51.1,255.16,65,75,2.06,GL,-10800
27,mar del plata,-38.0023,-57.5575,295.28,68,0,5.66,AR,-10800
28,kroonstad,-27.6504,27.2349,292.68,50,15,3.82,ZA,7200
29,rikitea,-23.1203,-134.9692,299.12,75,3,6.52,PF,-32400
30,yulara,-25.2406,130.9889,291.62,33,0,4.43,AU,34200
31,husavik,66.0449,-17.3389,270.52,71,3,5.72,IS,0
32,saint-philippe,-21.3585,55.7679,298.92,86,99,4.54,RE,14400
33,kapaa,22.0752,-159.319,295.33,94,100,11.32,US,-36000
34,sakrand,26.1384,68.2736,292.94,26,0,2.6,PK,18000
35,tautira,-17.7333,-149.15,299.48,78,60,6.41,PF,-36000
36,bhatkal,13.9667,74.5667,298.77,60,0,1.59,IN,19800
37,san carlos de bariloche,-41.1456,-71.3082,308.01,8,0,4.63,AR,-10800
38,aykhal,66.0,111.5,235.28,100,100,1.05,RU,32400
39,mataura,-46.1927,168.8643,295.25,71,100,1.94,NZ,46800
40,kaitangata,-46.2817,169.8464,295.14,67,100,2.29,NZ,46800
41,leningradskiy,69.3833,178.4167,240.75,99,100,2.19,RU,43200
42,pavlodar,52.3,76.95,250.04,77,0,3.0,KZ,21600
43,vila,42.0304,-8.1588,278.64,42,0,2.06,PT,0
44,yerofey pavlovich,53.9667,121.9667,245.87,98,91,1.29,RU,32400
45,port blair,11.6667,92.75,299.15,81,12,3.26,IN,19800
46,punta arenas,-53.15,-70.9167,283.21,93,100,4.12,CL,-10800
47,castro,-24.7911,-50.0119,293.34,91,73,3.45,BR,-10800
48,college,64.8569,-147.8028,262.12,76,75,1.54,US,-32400
49,chokurdakh,70.6333,147.9167,240.74,98,67,3.49,RU,39600
50,iqaluit,63.7506,-68.5145,236.31,65,40,6.17,CA,-18000
51,orchard homes,46.8633,-114.0484,280.53,59,100,2.68,US,-25200
52,kodiak,57.79,-152.4072,271.88,80,0,0.0,US,-32400
53,bluff,-46.6,168.3333,291.23,89,100,3.5,NZ,46800
54,albany,42.6001,-73.9662,262.49,46,61,1.64,US,-18000
55,busselton,-33.65,115.3333,295.68,45,80,3.6,AU,28800
56,dunedin,-45.8742,170.5036,294.71,79,100,1.79,NZ,46800
57,qaanaaq,77.484,-69.3632,253.44,64,99,2.64,GL,-14400
58,lavrentiya,65.5833,-171.0,248.0,94,94,3.09,RU,43200
59,waipawa,-41.4122,175.5153,295.08,70,10,3.14,NZ,46800
60,gamba,-2.65,10.0,297.85,89,98,0.54,GA,3600
61,basoko,1.2391,23.616,297.38,42,19,1.35,CD,7200
62,pisco,-13.7,-76.2167,297.18,83,0,4.12,PE,-18000
63,bathsheba,13.2167,-59.5167,300.49,74,75,9.26,BB,-14400
64,bengkulu,-3.8004,102.2655,296.39,90,100,1.83,ID,25200
65,huilong,31.8111,121.655,277.55,80,100,3.17,CN,28800
66,bocaue,14.7997,120.9269,297.63,79,89,2.11,PH,28800
67,baykit,61.67,96.37,256.58,100,99,0.75,RU,25200
68,bridlington,54.0831,-0.1919,282.2,81,99,7.55,GB,0
69,aksu,41.1231,80.2644,266.02,85,12,2.74,CN,28800
70,portland,45.5234,-122.6762,284.94,79,100,4.47,US,-28800
71,ribeira grande,38.5167,-28.7,290.25,94,20,4.63,PT,-3600
72,kirkby in ashfield,53.0998,-1.2438,281.6,91,100,1.34,GB,0
73,miraflores,19.2167,-98.8083,296.47,26,0,1.7,MX,-21600
74,eyl,7.9803,49.8164,295.98,71,90,6.1,SO,10800
75,pokhara,28.2333,83.9833,285.64,46,4,2.23,NP,20700
76,torbay,47.6666,-52.7314,259.58,77,75,14.4,CA,-12600
77,upernavik,72.7868,-56.1549,251.78,95,100,2.8,GL,-10800
78,hermanus,-34.4187,19.2345,293.04,93,24,3.21,ZA,7200
79,barrow,71.2906,-156.7887,242.16,76,20,3.6,US,-32400
80,faanui,-16.4833,-151.75,300.7,71,70,8.55,PF,-36000
81,nikolskoye,59.7035,30.7861,270.09,92,100,3.34,RU,10800
82,kaeo,-35.1,173.7833,293.35,86,95,3.24,NZ,46800
83,tomatlan,19.9333,-105.25,304.43,31,3,4.0,MX,-21600
84,port elizabeth,-33.918,25.5701,297.45,63,100,2.69,ZA,7200
85,erzin,36.9559,36.2,279.27,81,100,1.9,TR,10800
86,hilo,19.7297,-155.09,297.18,95,75,2.57,US,-36000
87,vaini,-21.2,-175.2,302.24,79,40,4.12,TO,46800
88,mount gambier,-37.8333,140.7667,286.97,82,100,1.23,AU,37800
89,rawson,-43.3002,-65.1023,305.78,25,15,8.96,AR,-10800
90,takoradi,4.8845,-1.7554,299.54,83,86,3.63,GH,0
91,matagami,49.7502,-77.6328,255.21,78,100,7.72,CA,-18000
92,vostok,46.4856,135.8833,253.38,97,100,2.01,RU,36000
93,cayenne,4.9333,-52.3333,297.17,100,75,6.17,GF,-10800
94,cabedelo,-6.9811,-34.8339,301.52,78,46,5.46,BR,-10800
95,loharu,28.45,75.8167,289.21,33,0,2.6,IN,19800
96,kalmunai,7.4167,81.8167,297.37,90,97,3.29,LK,19800
97,pacific grove,36.6177,-121.9166,289.63,83,75,11.62,US,-28800
98,otjiwarongo,-20.4637,16.6477,291.0,84,100,2.57,NA,7200
99,fortuna,40.5982,-124.1573,290.36,58,40,8.75,US,-28800
100,atuona,-9.8,-139.0333,299.14,75,37,8.62,PF,-34200
101,raga,8.4596,25.678,296.48,17,51,1.58,SS,7200
102,tahta,26.7693,31.5021,285.95,49,46,2.13,EG,7200
103,norman wells,65.282,-126.8329,247.17,64,75,2.06,CA,-25200
104,lorengau,-2.0226,147.2712,300.57,73,100,1.89,PG,36000
105,bitung,1.4451,125.1824,295.62,71,100,1.64,ID,28800
106,clyde river,70.4692,-68.5914,245.28,57,75,6.69,CA,-18000
107,kidal,18.4411,1.4078,295.92,10,97,4.92,ML,0
108,palagiano,40.5782,17.0374,281.94,43,70,8.99,IT,3600
109,cherskiy,68.75,161.3,235.53,100,95,2.11,RU,39600
110,codrington,-38.2667,141.9667,287.76,81,100,2.39,AU,39600
111,bata,1.8639,9.7658,300.04,82,20,4.57,GQ,3600
112,san rafael,-34.6177,-68.3301,305.24,16,0,5.57,AR,-10800
113,ponta do sol,32.6667,-17.1,290.5,59,23,4.34,PT,0
114,nishihara,26.1842,127.7558,289.75,88,75,4.12,JP,32400
115,orissaare,58.5592,23.0826,268.12,70,5,4.28,EE,7200
116,port hueneme,34.1478,-119.1951,297.48,45,0,2.57,US,-28800
117,victoria,22.2855,114.1577,291.45,86,100,4.47,HK,28800
118,aranjuez,40.0311,-3.6025,285.11,48,0,1.73,ES,3600
119,baljevac,44.8206,15.7799,271.05,78,73,4.0,BA,3600
120,kharp,66.8014,65.8081,259.32,89,83,4.26,RU,18000
121,hasaki,35.7333,140.8333,276.05,57,3,7.73,JP,32400
122,jardim,-21.4803,-56.1381,301.65,55,32,2.75,BR,-14400
123,victoria point,-27.5833,153.3,299.21,87,65,1.79,AU,36000
124,havre-saint-pierre,50.2334,-63.5986,260.15,55,100,10.8,CA,-18000
125,bredasdorp,-34.5322,20.0403,295.05,78,0,2.89,ZA,7200
126,bay roberts,47.5999,-53.2648,260.0,89,100,4.92,CA,-12600
127,tupik,54.4253,119.9327,240.1,100,85,0.91,RU,32400
128,sinnamary,5.3833,-52.95,298.23,88,100,7.15,GF,-10800
129,churapcha,62.0025,132.4325,238.09,100,100,0.08,RU,32400
130,hualmay,-11.0964,-77.6139,297.4,73,93,3.88,PE,-18000
131,isangel,-19.55,169.2667,302.21,89,75,1.54,VU,39600
132,manama,26.2154,50.5832,290.33,62,0,2.06,BH,10800
133,trelew,-43.249,-65.3051,310.35,13,4,7.61,AR,-10800
134,yuzhno-kurilsk,44.0306,145.8556,266.39,69,36,4.03,RU,36000
135,thompson,55.7435,-97.8558,254.24,65,20,1.54,CA,-21600
136,nhulunbuy,-12.2333,136.7667,296.49,94,40,0.0,AU,34200
137,bilibino,68.0546,166.4372,236.09,98,17,2.17,RU,43200
138,quirinopolis,-18.4483,-50.4517,299.18,80,77,2.36,BR,-10800
139,saint-joseph,-21.3667,55.6167,298.36,84,99,4.52,RE,14400
140,talnakh,69.4865,88.3972,262.71,96,100,2.89,RU,25200
141,wattegama,6.7989,81.4808,295.33,93,66,2.01,LK,19800
142,miura,35.14,139.6192,278.73,60,3,7.06,JP,32400
143,harsud,22.1,76.7333,290.33,30,4,2.04,IN,19800
144,broome,42.2506,-75.833,266.49,58,100,5.81,US,-18000
145,tremedal,-14.9758,-41.4108,299.4,62,39,0.9,BR,-10800
146,qui nhon,13.7667,109.2333,296.81,81,61,2.29,VN,25200
147,burgeo,47.6167,-57.6152,261.96,89,99,21.03,CA,-12600
148,sicamous,50.8331,-118.9856,279.69,83,55,1.16,CA,-28800
149,bambous virieux,-20.3428,57.7575,299.29,89,40,2.06,MU,14400
150,tres lagoas,-20.7511,-51.6783,298.73,85,97,1.36,BR,-14400
151,vichuga,57.2128,41.9301,268.38,98,100,1.62,RU,10800
152,aquiraz,-3.9014,-38.3911,301.2,81,83,4.03,BR,-10800
153,katsina,12.9894,7.6006,300.09,28,0,2.06,NG,3600
154,colares,38.7992,-9.4469,286.7,59,0,6.71,PT,0
155,daru,-9.0763,143.2092,297.29,94,100,3.85,PG,36000
156,raglan,-37.8,174.8833,296.17,76,28,3.36,NZ,46800
157,belmonte,-15.8631,-38.8828,300.27,79,2,4.93,BR,-10800
158,mayor pablo lagerenza,-19.9309,-60.7718,306.79,30,95,3.79,PY,-10800
159,beringovskiy,63.05,179.3167,243.59,90,38,6.4,RU,43200
160,viedma,-40.8135,-62.9967,304.61,28,0,9.21,AR,-10800
161,plettenberg bay,-34.0527,23.3716,295.59,71,24,2.15,ZA,7200
162,dikson,73.5069,80.5464,252.95,98,100,1.51,RU,25200
163,sechura,-5.5569,-80.8222,300.65,57,84,7.42,PE,-18000
164,kajaani,64.2273,27.7285,257.18,85,0,2.06,FI,7200
165,twin falls,42.3505,-114.6445,277.34,60,0,2.06,US,-25200
166,sungaipenuh,-2.0833,101.3833,291.17,99,100,0.06,ID,25200
167,tasiilaq,65.6145,-37.6368,269.24,81,100,7.22,GL,-10800
168,saskylakh,71.9167,114.0833,234.23,100,83,1.13,RU,32400
169,sabang,5.8933,95.3214,299.95,76,94,4.5,ID,25200
170,georgetown,5.4112,100.3354,299.11,78,20,3.09,MY,28800
171,belaya gora,68.5333,146.4167,236.31,100,99,1.81,RU,39600
172,morgan city,29.6994,-91.2068,292.04,48,0,2.57,US,-21600
173,barcelos,41.5388,-8.6151,284.64,74,0,2.08,PT,0
174,usinsk,65.9939,57.5281,260.04,96,98,2.97,RU,10800
175,repalle,16.0167,80.85,293.41,83,2,0.56,IN,19800
176,taseyevo,57.2169,94.8978,253.13,100,100,0.41,RU,25200
177,komsomolskiy,40.4272,71.7189,277.55,87,100,3.09,UZ,18000
178,port lincoln,-34.7333,135.8667,289.13,78,53,1.95,AU,37800
179,luderitz,-26.6481,15.1594,290.66,86,15,7.07,NA,7200
180,mookane,-23.688,26.6595,295.97,73,71,3.66,BW,7200
181,nyurba,63.2842,118.3319,225.99,100,100,0.78,RU,32400
182,pandan,14.0453,124.1694,297.85,88,99,6.83,PH,28800
183,plainview,40.7765,-73.4673,268.59,33,75,2.57,US,-18000
184,sao joao da barra,-21.6403,-41.0511,303.2,88,8,6.45,BR,-10800
185,butaritari,3.0707,172.7902,300.55,80,66,8.8,KI,43200
186,east london,-33.0153,27.9116,296.94,83,100,5.01,ZA,7200
187,mollendo,-17.0231,-72.0147,298.07,75,62,3.02,PE,-18000
188,san quintin,30.4833,-115.95,291.18,53,0,4.93,MX,-28800
189,souillac,-20.5167,57.5167,299.36,89,40,2.06,MU,14400
190,puerto ayora,-0.7393,-90.3518,303.13,88,40,3.13,EC,-21600
191,uvira,-3.4067,29.1458,295.94,78,57,0.83,CD,7200
192,sao filipe,14.8961,-24.4956,295.16,63,37,6.24,CV,-3600
193,hami,42.8,93.45,272.22,37,100,2.5,CN,28800
194,salon,26.0333,81.45,286.41,53,0,3.0,IN,19800
195,hirara,24.8,125.2833,293.71,71,75,5.78,JP,32400
196,shasta lake,40.6804,-122.3708,284.55,90,100,0.9,US,-28800
197,saryg-sep,51.5,95.6,256.79,95,100,0.16,RU,25200
198,dreux,48.6667,1.25,280.85,80,100,3.2,FR,3600
199,bloomfield,40.8068,-74.1854,269.8,35,0,4.63,US,-18000
200,razvilnoye,46.2387,41.2987,274.67,97,100,2.5,RU,10800
201,pangnirtung,66.1451,-65.7125,236.27,96,76,1.36,CA,-18000
202,kribi,2.95,9.9167,300.32,82,29,4.86,CM,3600
203,san luis,-33.295,-66.3356,302.99,18,0,4.29,AR,-10800
204,benguela,-12.5763,13.4055,297.71,80,94,1.98,AO,3600
205,barreirinhas,-2.7469,-42.8264,298.79,86,74,4.14,BR,-10800
206,martapura,-3.4167,114.85,298.2,100,100,0.51,ID,28800
207,vila velha,-20.3297,-40.2925,301.45,83,0,7.2,BR,-10800
208,puerto leguizamo,-0.1934,-74.7819,298.04,82,85,1.68,CO,-18000
209,tuatapere,-46.1333,167.6833,293.0,92,100,1.02,NZ,46800
210,bukachacha,52.9833,116.9167,247.6,99,22,1.47,RU,32400
211,nsunga,-1.1439,31.3947,290.6,71,65,0.52,TZ,10800
212,talara,-4.5772,-81.2719,301.57,61,40,5.14,PE,-18000
213,gorontalo,0.5412,123.0595,296.78,90,100,1.36,ID,28800
214,arraial do cabo,-22.9661,-42.0278,302.13,74,0,6.17,BR,-10800
215,port-cartier,50.0334,-66.8654,254.12,68,98,8.54,CA,-18000
216,bang saphan,11.2126,99.5117,296.35,93,51,0.96,TH,25200
217,asfi,32.2994,-9.2372,286.99,71,1,1.58,MA,3600
218,blacksburg,37.2296,-80.4139,278.36,42,0,3.09,US,-18000
219,malyye derbety,47.9547,44.6808,271.36,88,100,1.74,RU,10800
220,port hawkesbury,45.6169,-61.3485,258.13,86,100,14.4,CA,-14400
221,creel,27.75,-107.6333,290.25,18,0,6.07,MX,-25200
222,bar harbor,44.3876,-68.2039,259.97,38,0,5.14,US,-18000
223,saint-denis,48.9167,2.3333,282.46,83,100,3.6,FR,3600
224,yei,4.095,30.6779,297.57,31,26,1.28,SS,7200
225,raudeberg,61.9875,5.1352,277.57,65,100,16.15,NO,3600
226,cabo san lucas,22.8909,-109.9124,299.76,46,0,3.6,MX,-25200
227,marystown,47.1666,-55.1483,260.26,89,100,15.54,CA,-12600
228,libreville,0.3925,9.4537,300.21,80,99,4.13,GA,3600
229,san cristobal,7.7669,-72.225,299.25,36,13,2.88,VE,-14400
230,ballina,-28.8667,153.5667,298.16,85,99,3.34,AU,39600
231,dakar,14.6937,-17.4441,295.64,67,93,8.37,SN,0
232,biak,-0.9131,122.8766,297.23,84,100,1.28,ID,28800
233,tura,25.5198,90.2201,286.82,54,0,1.08,IN,19800
234,cruzeiro do sul,-29.5128,-51.9853,302.33,55,90,2.11,BR,-10800
235,esperance,-33.8667,121.9,290.62,71,0,6.6,AU,28800
236,avera,33.194,-82.5271,285.03,35,35,3.13,US,-18000
237,makakilo city,21.3469,-158.0858,294.82,88,100,4.12,US,-36000
238,toora-khem,52.4675,96.11,251.93,100,100,0.72,RU,25200
239,sao felix do xingu,-6.6447,-51.995,297.8,95,83,1.19,BR,-10800
240,machinga,-15.1685,35.3,294.34,89,100,0.81,MW,7200
241,imeni babushkina,59.7573,43.1285,265.73,98,100,1.18,RU,10800
242,gornopravdinsk,60.05,69.9,254.0,99,95,1.51,RU,18000
243,hithadhoo,-0.6,73.0833,300.5,73,98,6.49,MV,18000
244,inhambane,-23.865,35.3833,297.62,86,8,3.81,MZ,7200
245,kungurtug,50.5994,97.5228,255.13,97,99,0.69,RU,25200
246,suntar,62.1444,117.6319,229.91,100,95,1.53,RU,32400
247,srednekolymsk,67.45,153.6833,237.59,100,100,1.35,RU,39600
248,jalu,29.0331,21.5482,286.11,50,100,2.07,LY,7200
249,kahului,20.8947,-156.47,298.69,78,20,7.72,US,-36000
250,karabanovo,56.3167,38.7,266.46,99,96,0.97,RU,10800
251,chengde,40.9725,117.9361,266.01,55,5,1.34,CN,28800
252,lesnikovo,55.2822,65.3175,259.19,97,99,1.13,RU,18000
253,taupo,-38.6833,176.0833,292.4,84,94,1.82,NZ,46800
254,guerrero negro,27.9769,-114.0611,294.21,34,0,4.7,MX,-25200
255,talcahuano,-36.7167,-73.1167,291.97,77,100,4.12,CL,-10800
256,avarua,-21.2078,-159.775,301.18,78,40,6.17,CK,-36000
257,sampit,-2.5333,112.95,295.79,98,100,0.93,ID,25200
258,dali,25.7,100.1833,278.74,58,5,2.39,CN,28800
259,tromso,69.6496,18.957,273.16,86,20,5.66,NO,3600
260,kavieng,-2.5744,150.7967,300.76,73,97,2.2,PG,36000
261,lanzhou,36.0564,103.7922,275.84,38,100,0.78,CN,28800
262,assai,-23.3733,-50.8414,297.07,81,90,2.17,BR,-10800
263,provideniya,64.3833,-173.3,253.45,89,100,4.79,RU,43200
264,longyearbyen,78.2186,15.6401,265.06,62,0,9.26,SJ,3600
265,el colorado,-26.3081,-59.3729,308.22,19,68,3.07,AR,-10800
266,saldanha,-33.0117,17.9442,292.18,96,88,6.59,ZA,7200
267,abu kamal,34.4506,40.9171,282.71,66,96,1.93,SY,7200
268,saint-claude,46.5,5.8333,276.97,87,95,4.14,FR,3600
269,bijie,27.3125,105.2942,279.45,90,99,1.24,CN,28800
270,walvis bay,-22.9575,14.5053,291.53,77,100,5.3,NA,7200
271,cidreira,-30.1811,-50.2056,298.55,65,57,4.37,BR,-10800
272,evora,38.5667,-7.9,280.85,69,0,2.36,PT,0
273,fort nelson,58.8053,-122.7002,259.79,67,75,0.45,CA,-25200
274,saint-augustin,51.226,-58.6502,259.94,72,71,10.3,CA,-14400
275,gubkinskiy,64.434,76.5026,262.74,93,100,4.51,RU,18000
276,lompoc,34.6391,-120.4579,294.7,69,0,2.57,US,-28800
277,haines junction,60.7522,-137.5108,264.12,67,100,0.51,CA,-25200
278,adrar,20.5022,-10.0711,290.37,16,100,4.65,MR,0
279,alice springs,-23.7,133.8833,284.9,87,2,2.06,AU,34200
280,jiexiu,37.0244,111.9125,274.19,33,25,0.87,CN,28800
281,ahipara,-35.1667,173.1667,294.57,78,100,4.24,NZ,46800
282,grand-santi,4.25,-54.3833,296.44,98,94,2.45,GF,-10800
283,san policarpo,12.1791,125.5072,299.07,84,99,6.97,PH,28800
284,utica,43.1009,-75.2327,262.07,68,96,3.74,US,-18000
285,minsk,53.9,27.5667,268.01,93,100,5.59,BY,10800
286,saint-francois,46.4154,3.9054,279.84,95,0,1.54,FR,3600
287,mama,58.3106,112.8986,256.1,99,100,1.43,RU,28800
288,jimenez,28.3333,-105.4,293.9,21,4,1.55,MX,-25200
289,tombouctou,20.0,-3.0,289.98,18,100,4.75,ML,0
